lat,lon,temp34,prec34,temp56,prec56
27,261,30.6278,7.63123,nan,nan
27,262,29.8398,14.855,nan,nan
28,261,31.0414,9.89256,nan,nan
28,262,29.4103,45.4291,nan,nan
28,263,29.357,34.239,nan,nan
29,260,31.3712,5.35792,nan,nan
29,261,30.0785,18.4329,nan,nan
29,262,29.2091,31.108,nan,nan
29,263,29.7583,58.6841,nan,nan
29,264,29.0503,93.2145,nan,nan
30,256,26.4697,9.46128,nan,nan
30,257,27.5192,6.86094,nan,nan
30,258,30.3917,19.0474,nan,nan
30,259,30.5613,10.1655,nan,nan
30,260,29.0416,22.2603,nan,nan
30,261,27.9168,23.7323,nan,nan
30,262,28.8067,32.4633,nan,nan
30,263,29.3474,38.5169,nan,nan
30,264,29.2563,80.7256,nan,nan
30,265,28.866,76.7444,nan,nan
30,266,28.0353,64.1839,nan,nan
31,255,27.1568,10.0577,nan,nan
31,256,26.1644,7.87971,nan,nan
31,257,28.5513,7.62698,nan,nan
31,258,29.2127,4.12829,nan,nan
31,259,29.2937,42.1466,nan,nan
31,260,28.8443,56.997,nan,nan
31,261,28.3609,25.1752,nan,nan
31,262,28.5017,20.104,nan,nan
31,263,29.2069,15.3207,nan,nan
31,264,29.0844,43.1392,nan,nan
31,265,28.4272,83.6915,nan,nan
31,266,27.7351,68.8805,nan,nan
32,247,33.2265,0.152327,nan,nan
32,248,31.2575,3.04844,nan,nan
32,249,29.0656,5.38096,nan,nan
32,250,28.4336,3.27384,nan,nan
32,251,27.843,0.447964,nan,nan
32,252,27.4815,0.0410271,nan,nan
32,253,28.7139,0.954839,nan,nan
32,254,28.6372,3.68083,nan,nan
32,255,27.2021,24.1471,nan,nan
32,256,28.712,13.6049,nan,nan
32,257,29.0366,5.75226,nan,nan
32,258,29.2176,14.2509,nan,nan
32,259,28.7901,33.2156,nan,nan
32,260,28.0532,45.1846,nan,nan
32,261,27.509,30.3928,nan,nan
32,262,28.1223,24.4849,nan,nan
32,263,28.8838,22.0375,nan,nan
32,264,28.7894,38.9983,nan,nan
32,265,28.0533,68.191,nan,nan
33,243,20.7436,1.26038,nan,nan
33,244,28.6515,0,nan,nan
33,245,33.0919,0,nan,nan
33,246,32.7474,0,nan,nan
33,247,33.4586,0,nan,nan
33,248,32.6623,0.268282,nan,nan
33,249,30.2401,0.0264885,nan,nan
33,250,28.8327,0.548519,nan,nan
33,251,26.68,0.223759,nan,nan
33,252,23.5239,0.0794142,nan,nan
33,253,27.3415,1.02939,nan,nan
33,254,25.1642,5.32808,nan,nan
33,255,25.7812,8.1419,nan,nan
33,256,27.9303,9.12397,nan,nan
33,257,27.6096,15.5024,nan,nan
33,258,28.6031,26.0634,nan,nan
33,259,28.6295,35.1264,nan,nan
33,260,28.0561,48.4217,nan,nan
33,261,27.6214,46.98,nan,nan
33,262,28.0477,33.6826,nan,nan
33,263,28.6417,47.6478,nan,nan
33,264,28.5655,28.9709,nan,nan
33,265,27.9208,80.2774,nan,nan
34,242,21.8458,0.148765,nan,nan
34,243,24.0423,0.249088,nan,nan
34,244,30.4881,0.029453,nan,nan
34,245,33.3579,0,nan,nan
34,246,33.002,0,nan,nan
34,247,29.3504,0.333376,nan,nan
34,248,29.194,0.644982,nan,nan
34,249,25.9649,0.596586,nan,nan
34,250,23.0022,0.282781,nan,nan
34,251,20.1133,0.424884,nan,nan
34,252,21.0754,0.0832152,nan,nan
34,253,25.6317,0.792427,nan,nan
34,254,23.9386,3.85842,nan,nan
34,255,25.236,8.65925,nan,nan
34,256,26.7635,18.8685,nan,nan
34,257,26.5176,42.5997,nan,nan
34,258,27.3251,24.3293,nan,nan
34,259,28.0143,21.3148,nan,nan
34,260,28.7136,42.0591,nan,nan
34,261,28.589,42.802,nan,nan
34,262,27.823,38.9063,nan,nan
34,263,27.777,21.5086,nan,nan
34,264,27.6486,19.6073,nan,nan
34,265,27.13,45.1346,nan,nan
35,240,19.8211,0.0512303,nan,nan
35,241,23.7045,0.125266,nan,nan
35,242,26.166,0.0173972,nan,nan
35,243,27.5345,0.0739154,nan,nan
35,244,30.248,0.415371,nan,nan
35,245,31.2891,0,nan,nan
35,246,29.391,0,nan,nan
35,247,23.7578,0.527614,nan,nan
35,248,23.6833,3.7388,nan,nan
35,249,23.5505,4.00631,nan,nan
35,250,24.3034,2.8344,nan,nan
35,251,22.2178,0.817843,nan,nan
35,252,20.7823,0.709477,nan,nan
35,253,24.4226,1.3318,nan,nan
35,254,22.5152,5.34628,nan,nan
35,255,23.7464,24.4186,nan,nan
35,256,26.2329,26.6649,nan,nan
35,257,26.6675,35.1935,nan,nan
35,258,26.7927,34.8678,nan,nan
35,259,28.2402,35.9027,nan,nan
35,260,28.0666,16.3466,nan,nan
35,261,28.2715,26.6269,nan,nan
35,262,27.6274,7.83587,nan,nan
35,263,27.3514,15.0014,nan,nan
35,264,27.1506,33.7613,nan,nan
35,265,27.0004,22.8235,nan,nan
36,239,19.2925,0,nan,nan
36,240,24.8467,0.00971236,nan,nan
36,241,25.7756,0,nan,nan
36,242,23.5243,0.834804,nan,nan
36,243,29.7875,1.75409,nan,nan
36,244,29.519,0.999514,nan,nan
36,245,30.741,0,nan,nan
36,246,28.0306,0.0067357,nan,nan
36,247,21.9701,0.875039,nan,nan
36,248,20.2566,3.51906,nan,nan
36,249,23.9394,3.68689,nan,nan
36,250,22.6727,7.55153,nan,nan
36,251,21.6503,4.0704,nan,nan
36,252,22.1359,1.19296,nan,nan
36,253,19.7414,3.12756,nan,nan
36,254,19.8387,8.74866,nan,nan
36,255,19.5804,20.3722,nan,nan
36,256,23.7134,43.2719,nan,nan
36,257,25.3558,44.3764,nan,nan
36,258,27.5185,48.4799,nan,nan
36,259,28.7822,22.5609,nan,nan
36,260,27.8891,15.9922,nan,nan
36,261,27.9737,18.6426,nan,nan
36,262,28.2741,10.7021,nan,nan
36,263,28.1218,16.6583,nan,nan
36,264,28.033,28.4109,nan,nan
36,265,26.6592,24.7361,nan,nan
37,238,18.4258,0.0626855,nan,nan
37,239,23.0589,0,nan,nan
37,240,27.121,0,nan,nan
37,241,19.717,0.276032,nan,nan
37,242,22.7716,2.06494,nan,nan
37,243,27.496,4.637,nan,nan
37,244,25.8261,1.33015,nan,nan
37,245,26.6507,0.180659,nan,nan
37,246,26.5143,0,nan,nan
37,247,22.9455,0.864802,nan,nan
37,248,22.3276,2.42314,nan,nan
37,249,25.3142,1.01606,nan,nan
37,250,24.7528,0.997366,nan,nan
37,251,24.0048,1.27122,nan,nan
37,252,20.9442,1.75253,nan,nan
37,253,16.6488,1.37028,nan,nan
37,254,15.673,4.26053,nan,nan
37,255,16.9877,14.4825,nan,nan
37,256,22.18,31.8364,nan,nan
37,257,24.3929,22.4591,nan,nan
37,258,26.9282,28.8526,nan,nan
37,259,27.475,13.8941,nan,nan
37,260,27.4737,9.32229,nan,nan
37,261,28.1088,4.41125,nan,nan
37,262,28.4833,4.56706,nan,nan
37,263,28.1361,8.78422,nan,nan
37,264,27.2258,12.567,nan,nan
37,265,27.1755,21.677,nan,nan
38,238,20.7517,0.374634,nan,nan
38,239,25.0478,0.0197307,nan,nan
38,240,20.0383,1.95412,nan,nan
38,241,16.7219,14.2988,nan,nan
38,242,22.1155,2.48604,nan,nan
38,243,22.686,4.71715,nan,nan
38,244,22.2739,1.93083,nan,nan
38,245,22.2937,0.27508,nan,nan
38,246,20.6041,0.0468423,nan,nan
38,247,19.7603,1.21117,nan,nan
38,248,16.3424,3.80191,nan,nan
38,249,22.8217,0.569914,nan,nan
38,250,24.3645,0.144816,nan,nan
38,251,22.785,2.42201,nan,nan
38,252,17.4797,4.60041,nan,nan
38,253,13.0279,5.08083,nan,nan
38,254,15.6315,6.64746,nan,nan
38,255,19.8161,14.6681,nan,nan
38,256,24.615,25.5119,nan,nan
38,257,25.5106,40.4092,nan,nan
