lat,lon,temp34,prec34,temp56,prec56
27,261,27.4106,1.86591,23.5652,10.7772
27,262,27.2908,24.1141,23.4461,11.8819
28,261,27.5557,5.36922,23.0291,49.2762
28,262,26.8973,11.737,22.6209,24.9279
28,263,27.3866,7.08433,23.3555,30.0712
29,260,26.8,2.01039,21.8772,22.0179
29,261,26.85,4.47892,21.3084,57.3438
29,262,26.411,4.88252,20.831,50.0204
29,263,26.1094,7.50654,21.2447,49.9401
29,264,26.0786,8.11224,21.2991,77.632
30,256,20.5631,26.6611,16.22,5.65147
30,257,21.7823,2.2823,16.9993,2.6893
30,258,24.454,2.49315,19.3189,3.4321
30,259,24.794,9.72289,19.4655,5.35615
30,260,24.1418,18.6554,18.3248,19.5009
30,261,23.8454,10.2166,18.0177,35.8344
30,262,24.9809,8.65923,19.3183,64.4179
30,263,25.6294,9.36652,20.3557,61.9572
30,264,25.2599,8.58933,20.6128,50.266
30,265,24.9782,7.04697,20.279,87.4094
30,266,25.5195,16.5661,20.1122,123.68
31,255,19.4556,36.7992,15.3313,7.94837
31,256,19.393,21.2483,14.5835,3.75762
31,257,22.1954,2.94686,16.8029,2.98626
31,258,23.1503,1.3597,17.434,2.63645
31,259,23.0524,16.8271,17.0707,3.46368
31,260,22.9241,13.7557,16.7068,23.7883
31,261,23.0457,20.482,16.3762,26.9142
31,262,23.9303,24.6916,17.4422,30.3141
31,263,24.8585,37.4773,18.6857,50.6485
31,264,24.3636,40.1016,19.4609,53.5798
31,265,23.2599,24.5654,18.4661,87.5189
31,266,23.4153,32.0667,18.1844,134.807
32,247,26.2621,0,23.5593,0
32,248,24.3033,0,21.0824,0
32,249,22.1725,0,18.8595,0
32,250,20.7222,0.317937,17.3358,0.0866295
32,251,18.7221,1.75738,14.8297,0.0990709
32,252,18.6153,7.44668,14.2515,0
32,253,19.8427,13.8946,15.5586,0.132968
32,254,19.9658,35.6671,15.7374,0.744985
32,255,17.8571,50.0266,13.8244,0.773252
32,256,19.8654,38.0306,14.7109,0.0373886
32,257,21.6766,12.235,15.4315,0.0292913
32,258,22.5964,3.71949,16.4451,0.230265
32,259,22.2888,8.64112,16.2402,1.3934
32,260,21.9114,13.196,15.799,10.2712
32,261,21.8975,16.3995,15.0429,13.2045
32,262,22.7798,18.3484,15.9969,35.218
32,263,23.6904,36.2289,17.1881,41.0082
32,264,23.5572,31.0665,17.9795,44.3017
32,265,22.4609,26.8798,17.4103,60.6271
33,243,17.2632,0.00696358,18.9675,0
33,244,20.7287,0,20.7369,0
33,245,23.8411,0,23.3409,0
33,246,23.9603,0,23.3511,0
33,247,25.9881,0,23.4079,0
33,248,24.9373,0,21.9927,0
33,249,22.637,0,19.3976,0.00841514
33,250,21.0336,0.426354,17.0845,1.70279
33,251,17.8313,1.13708,13.7148,0.969847
33,252,14.5595,9.14863,10.317,0.125992
33,253,18.1824,19.934,13.9504,0.0182963
